Abies nordmanniana;7;Nordmann Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1525;2285;455;760;4;6;4;6;-29;58;Abies;nordmanniana;;Abies nordmanniana;26;true;0;32;false;false;;A;32;4;2;1
Abies nordmanniana 'Arnold Nordmann';10359;Nordmann Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;6;;;-29;4;Abies;nordmanniana;Arnold Nordmann;Abies nordmanniana;4236;true;0;0;false;true;;A;33;4;2;1
Abies nordmanniana 'Camille Nordmann';10360;Nordmann Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;6;;;-29;2;Abies;nordmanniana;Camille Nordmann;Abies nordmanniana;4234;true;0;0;false;true;;A;34;4;2;1
Abies nordmanniana 'Léon Nordmann';10356;Nordmann Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;185;245;90;120;;6;;;-29;3;Abies;nordmanniana;Léon Nordmann;Abies nordmanniana;4237;true;0;0;false;true;;A;35;4;2;1
Abies pinsapo;6580;Spanish Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Abies;pinsapo;;Abies pinsapo;1599;true;0;0;false;false;;A;36;4;2;1
Abies procera;8;Noble Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1525;3050;455;760;5;6;5;6;-23.5;19;Abies;procera;;Abies procera;27;true;0;32;false;false;;A;37;4;2;1
Abutilon hybrids;11;Chinese Bell Flower;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;245;305;185;245;9;11;1;12;-1;99;Abutilon;x;;Abutilon hybrids;30;true;7;180;false;false;;A;38;3;2;1
Abutilon megapotamicum;6581;Trailing Abutilon;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;;;;;;;;;;61;Abutilon;megapotamicum;;Abutilon megapotamicum;1600;true;0;132;false;false;;A;39;3;2;1
Abutilon palmeri;9274;Palmer's Abutilon;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Abutilon;palmeri;;Abutilon palmeri;3999;true;0;0;false;false;;A;40;3;2;1
Abutilon pictum;12;Spotted Flowering Maple;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;245;455;245;365;8;10;8;12;-6.5;13;Abutilon;pictum;;Abutilon pictum;31;true;0;164;false;false;;A;41;3;2;1
Abutilon theophrasti;13;Velvet Leaf;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;60;185;;;;;1;12;-1;11;Abutilon;theophrasti;;Abutilon theophrasti;32;true;0;4;false;false;Abutilon avicennae, Abutilon abutilon;A;42;3;2;1
Abutilon x 'Bella Deep Coral';5209;Chinese Bell Flower;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;245;305;185;305;9;11;1;12;-1;0;Abutilon;x;Bella Deep Coral;Abutilon x;30;false;0;0;false;false;;A;43;3;2;1
Abutilon x 'Bella Pink';5208;Chinese Bell Flower;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;245;305;185;305;9;11;1;12;-1;0;Abutilon;x;Bella Pink;Abutilon x;30;false;0;0;false;false;;A;44;3;2;1
Abutilon x 'Bella Red';5207;Chinese Bell Flower;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;245;305;185;305;9;11;1;12;-1;0;Abutilon;x;Bella Red;Abutilon x;30;false;0;0;false;false;;A;45;3;2;1
Abutilon x 'Bella Yellow';5206;Chinese Bell Flower;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;245;305;185;305;9;11;1;12;-1;0;Abutilon;x;Bella Yellow;Abutilon x;30;false;0;0;false;false;;A;46;3;2;1
Abutilon x 'Red Cap';2862;Chinese Bell Flower;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;;;;;2;10;1;12;-40;0;Abutilon;x;Red Cap;Abutilon x;30;false;0;0;false;false;;A;47;3;2;1
Abutilon x 'Bella Vanilla';5205;Flowering Maple;38;66;500;5000;10;25;5000;99000;38;44;32;38;288;0;0;245;305;185;305;9;11;1;12;-1;0;Abutilon;x;Bella Vanilla;Abutilon x;30;false;0;0;false;false;;A;48;3;2;1
Abutilon x 'Summer Sherbert Mix';1613;Flowering Maple;38;66;500;5000;10;40;5000;99000;38;44;32;38;288;0;0;245;305;185;245;;;1;12;-1;0;Abutilon;x;Summer Sherbert Mix;Abutilon x;30;false;0;0;false;false;;A;49;3;2;1
Acacia aneura;14;Mulga;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;455;610;365;550;8;11;1;12;-6.5;11;Acacia;aneura;;Acacia aneura;33;true;0;180;false;false;;A;50;4;2;1
Acacia baileyana;5649;Bailey Acacia;38;66;500;5000;10;40;10000;99000;38;44;32;38;288;0;0;185;760;305;610;10;11;10;12;4.5;47;Acacia;baileyana;;Acacia baileyana;1363;true;0;164;false;false;Racosperma baileyanum;A;51;4;2;1
Acacia caven;6582;Roman Cassie;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;9;Acacia;caven;;Acacia caven;1601;true;0;4;false;false;Acacia cavenia, Mimosa cavenia, Mimosa caven;A;52;4;2;1
Acacia cognata;6583;Bower Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;9;Acacia;cognata;;Acacia cognata;1602;true;0;4;false;false;;A;53;4;2;1
